3,370.00,2021/06/16,
1,2895.00,2021/06/21,
1,2896.00,2021/06/21,
2,808.00,2021/06/24,
2,808.00,2021/06/24,
2,812.00,2021/06/25,
2,813.00,2021/06/25,
2,812.00,2021/06/25,
2,813.00,2021/06/25,
2,807.00,2021/06/29,
2,807.00,2021/06/29,
2,814.00,2021/06/30,
2,814.00,2021/06/30,
1,2897.00,2021/07/02,
1,2898.00,2021/07/05,
3,371.00,2021/07/05,
3,372.00,2021/07/05,
1,2899.00,2021/07/07,
2,815.00,2021/07/07,
2,815.00,2021/07/07,
1,2900.00,2021/07/12,
1,2902.00,2021/07/14,
1,2903.00,2021/07/14,
1,2904.00,2021/07/14,
2,816.00,2021/07/15,
2,816.00,2021/07/15,
3,373.00,2021/07/16,
1,2905.00,2021/07/19,
3,374.00,2021/07/19,
1,2906.00,2021/07/20,
3,375.00,2021/07/21,
1,2907.00,2021/07/22,
2,818.00,2021/07/22,
2,818.00,2021/07/22,
1,2908.00,2021/07/27,
3,376.00,2021/07/27,
1,2910.00,2021/07/28,
3,377.00,2021/07/28,
1,2911.00,2021/07/29,
3,378.00,2021/07/30,
3,379.00,2021/07/30,
3,380.00,2021/08/02,
1,2913.00,2021/08/03,
1,2914.00,2021/08/03,
1,2915.00,2021/08/04,
1,2916.00,2021/08/04,
1,2917.00,2021/08/04,
2,821.00,2021/08/05,
2,821.00,2021/08/05,
1,2920.00,2021/08/09,
3,381.00,2021/08/10,
3,382.00,2021/08/10,
3,383.00,2021/08/11,
1,2921.00,2021/08/12,
1,2922.00,2021/08/13,
1,2923.00,2021/08/16,
1,2924.00,2021/08/16,
3,384.00,2021/08/16,
1,2925.00,2021/08/19,
1,2926.00,2021/08/20,
2,822.00,2021/08/20,
2,823.00,2021/08/20,
2,822.00,2021/08/20,
2,823.00,2021/08/20,
3,385.00,2021/08/20,
1,2927.00,2021/08/25,
3,386.00,2021/08/26,
4,7.00,2021/08/26,
2,825.00,2021/08/27,
2,825.00,2021/08/27,
3,387.00,2021/08/27,
3,388.00,2021/08/27,
